"gas_day","region_code","gas_cons_mcm","rec_added"
2023-09-17,CZ,8.9371429,2023-09-19 03:00:52.000 +0300
2023-09-16,FR,42.46,2023-12-26 18:10:29.055 +0300
2023-09-16,AT,11.69,2023-09-27 18:10:08.548 +0300
2023-09-16,CZ,9.2857143,2023-09-18 03:00:58.000 +0300
2023-09-15,FR,52.86,2023-12-25 18:10:23.557 +0300
2023-09-15,AT,2.20,2023-09-26 18:10:07.715 +0300
2023-09-15,CZ,11.1914286,2023-09-17 03:00:34.000 +0300
2023-09-14,FR,57.55,2023-12-24 18:10:20.896 +0300
2023-09-14,AT,6.94,2023-09-25 18:10:09.693 +0300
2023-09-14,CZ,11.2771428,2023-09-16 02:58:16.000 +0300
2023-09-13,FR,61.11,2023-12-23 18:10:27.010 +0300
2023-09-13,CZ,12.0566667,2023-10-20 03:00:59.000 +0300
2023-09-13,AT,6.88,2023-09-24 18:10:08.358 +0300
2023-09-12,FR,59.13,2023-12-22 18:10:43.576 +0300
2023-09-12,CZ,11.8880952,2023-10-20 03:00:59.000 +0300
2023-09-12,AT,10.54,2023-09-23 18:10:08.655 +0300
2023-09-11,FR,55.35,2023-12-21 18:10:18.712 +0300
2023-09-11,AT,9.97,2023-09-22 18:10:06.427 +0300
2023-09-11,CZ,8.650000,2023-09-13 02:58:20.000 +0300
2023-09-10,FR,40.51,2023-12-20 18:10:18.040 +0300
2023-09-10,CZ,9.3333334,2023-10-20 03:00:59.000 +0300
2023-09-10,AT,5.99,2023-09-21 18:10:07.489 +0300
2023-09-09,FR,43.62,2023-12-19 18:10:32.626 +0300
2023-09-09,CZ,7.8833333,2023-10-20 03:00:59.000 +0300
2023-09-09,AT,6.68,2023-09-20 18:10:08.306 +0300
2023-09-08,FR,54.28,2023-12-18 18:15:44.728 +0300
2023-09-08,AT,-0.39,2023-09-19 18:10:08.977 +0300
2023-09-08,CZ,9.5938096,2023-09-10 02:58:23.000 +0300
2023-09-07,FR,55.55,2023-12-16 18:10:21.938 +0300
2023-09-07,AT,4.26,2023-09-18 18:10:07.801 +0300
2023-09-07,CZ,8.3757143,2023-09-09 02:58:19.000 +0300
2023-09-06,FR,58.15,2023-12-16 18:10:21.938 +0300
2023-09-06,CZ,9.5409524,2023-10-20 03:00:59.000 +0300
2023-09-06,AT,4.55,2023-09-17 18:10:07.262 +0300
2023-09-05,FR,55.13,2023-12-15 18:15:55.343 +0300
2023-09-05,CZ,12.0742857,2023-10-20 03:00:59.000 +0300
2023-09-05,AT,7.39,2023-09-16 18:10:07.618 +0300
2023-09-04,FR,48.32,2023-12-14 18:10:23.194 +0300
2023-09-04,CZ,12.38,2023-10-20 03:00:59.000 +0300
2023-09-04,AT,7.76,2023-09-15 18:11:40.608 +0300
2023-09-03,FR,37.87,2023-12-13 18:10:26.592 +0300
2023-09-03,AT,2.29,2023-09-14 18:11:20.232 +0300
2023-09-03,CZ,10.9228571,2023-09-05 02:58:06.000 +0300
2023-09-02,FR,43.58,2023-12-12 18:10:19.863 +0300
2023-09-02,AT,3.35,2023-09-13 18:11:36.290 +0300
2023-09-02,CZ,7.3019048,2023-09-12 02:58:16.000 +0300
2023-09-01,FR,56.29,2023-12-11 18:15:17.118 +0300
2023-09-01,AT,8.20,2023-09-12 18:11:27.945 +0300
2023-09-01,CZ,4.4242857,2023-09-03 02:58:06.000 +0300
2023-08-31,FR,60.59,2023-12-10 18:10:19.895 +0300
2023-08-31,CZ,11.1828571,2023-10-20 03:00:59.000 +0300
2023-08-31,AT,7.72,2023-09-11 18:11:27.976 +0300
2023-08-30,FR,60.98,2023-12-09 18:10:21.738 +0300
2023-08-30,AT,10.49,2023-09-10 18:11:29.167 +0300
2023-08-30,CZ,11.6133334,2023-09-01 02:58:11.000 +0300
2023-08-29,FR,62.81,2023-12-08 18:10:15.957 +0300
2023-08-29,CZ,10.6909524,2023-10-20 03:00:59.000 +0300
2023-08-29,AT,9.08,2023-09-09 18:11:43.701 +0300
2023-08-28,FR,57.59,2023-12-06 18:10:24.999 +0300
2023-08-28,CZ,9.1023809,2023-10-20 03:00:59.000 +0300
2023-08-28,AT,4.48,2023-09-08 18:11:36.537 +0300
2023-08-27,FR,42.11,2023-12-06 18:10:24.999 +0300
2023-08-27,AT,5.17,2023-09-07 18:11:30.551 +0300
2023-08-27,CZ,7.8457143,2023-08-29 02:58:18.000 +0300
2023-08-26,FR,44.76,2023-12-05 18:10:21.652 +0300
2023-08-26,CZ,7.1057143,2023-10-20 03:00:59.000 +0300
2023-08-26,AT,6.37,2023-09-06 18:11:40.198 +0300
2023-08-25,FR,55.61,2023-12-04 18:10:46.198 +0300
