"date_actual","region_name","date_forecast","day_avg_temp","is_fact","doc_date"
2023-12-18,Франция,2023-12-13,4.00,false,2023-12-13
2023-12-18,Австрия,2023-12-12,3.00,false,2023-12-12
2023-12-18,Германия,2023-12-12,5.00,false,2023-12-12
2023-12-18,Франция,2023-12-12,4.00,false,2023-12-12
2023-12-17,Австрия,,1.00,true,2023-12-18
2023-12-17,Германия,,5.00,true,2023-12-18
2023-12-17,Франция,,3.00,true,2023-12-18
2023-12-17,Австрия,2023-12-17,1.00,false,2023-12-17
2023-12-17,Германия,2023-12-17,5.00,false,2023-12-17
2023-12-17,Франция,2023-12-17,3.00,false,2023-12-17
2023-12-17,Австрия,2023-12-16,1.00,false,2023-12-16
2023-12-17,Германия,2023-12-16,5.00,false,2023-12-16
2023-12-17,Франция,2023-12-16,4.00,false,2023-12-16
2023-12-17,Австрия,2023-12-15,2.00,false,2023-12-15
2023-12-17,Германия,2023-12-15,6.00,false,2023-12-15
2023-12-17,Франция,2023-12-15,4.00,false,2023-12-15
2023-12-17,Австрия,2023-12-14,2.00,false,2023-12-14
2023-12-17,Германия,2023-12-14,5.00,false,2023-12-14
2023-12-17,Франция,2023-12-14,4.00,false,2023-12-14
2023-12-17,Австрия,2023-12-13,2.00,false,2023-12-13
2023-12-17,Германия,2023-12-13,6.00,false,2023-12-13
2023-12-17,Франция,2023-12-13,4.00,false,2023-12-13
2023-12-17,Австрия,2023-12-12,1.00,false,2023-12-12
2023-12-17,Германия,2023-12-12,5.00,false,2023-12-12
2023-12-17,Франция,2023-12-12,5.00,false,2023-12-12
2023-12-17,Австрия,2023-12-11,0.00,false,2023-12-11
2023-12-17,Германия,2023-12-11,3.00,false,2023-12-11
2023-12-17,Франция,2023-12-11,2.00,false,2023-12-11
2023-12-16,Австрия,,2.00,true,2023-12-17
2023-12-16,Германия,,6.00,true,2023-12-17
2023-12-16,Франция,,6.00,true,2023-12-17
2023-12-16,Австрия,2023-12-16,2.00,false,2023-12-16
2023-12-16,Германия,2023-12-16,4.00,false,2023-12-16
2023-12-16,Франция,2023-12-16,5.00,false,2023-12-16
2023-12-16,Австрия,2023-12-15,2.00,false,2023-12-15
2023-12-16,Германия,2023-12-15,5.00,false,2023-12-15
2023-12-16,Франция,2023-12-15,5.00,false,2023-12-15
2023-12-16,Австрия,2023-12-14,2.00,false,2023-12-14
2023-12-16,Германия,2023-12-14,4.00,false,2023-12-14
2023-12-16,Франция,2023-12-14,5.00,false,2023-12-14
2023-12-16,Австрия,2023-12-13,2.00,false,2023-12-13
2023-12-16,Германия,2023-12-13,4.00,false,2023-12-13
2023-12-16,Франция,2023-12-13,5.00,false,2023-12-13
2023-12-16,Австрия,2023-12-12,1.00,false,2023-12-12
2023-12-16,Германия,2023-12-12,4.00,false,2023-12-12
2023-12-16,Франция,2023-12-12,5.00,false,2023-12-12
2023-12-16,Австрия,2023-12-11,0.00,false,2023-12-11
2023-12-16,Германия,2023-12-11,2.00,false,2023-12-11
2023-12-16,Франция,2023-12-11,4.00,false,2023-12-11
2023-12-16,Австрия,2023-12-10,1.00,false,2023-12-10
2023-12-16,Германия,2023-12-10,3.00,false,2023-12-10
2023-12-16,Франция,2023-12-10,4.00,false,2023-12-10
2023-12-15,Австрия,,3.00,true,2023-12-16
2023-12-15,Германия,,3.00,true,2023-12-16
2023-12-15,Франция,,8.00,true,2023-12-16
2023-12-15,Австрия,2023-12-15,2.00,false,2023-12-15
2023-12-15,Германия,2023-12-15,3.00,false,2023-12-15
2023-12-15,Франция,2023-12-15,7.00,false,2023-12-15
2023-12-15,Австрия,2023-12-14,2.00,false,2023-12-14
2023-12-15,Германия,2023-12-14,3.00,false,2023-12-14
2023-12-15,Франция,2023-12-14,7.00,false,2023-12-14
2023-12-15,Австрия,2023-12-13,2.00,false,2023-12-13
2023-12-15,Германия,2023-12-13,3.00,false,2023-12-13
2023-12-15,Франция,2023-12-13,7.00,false,2023-12-13
2023-12-15,Австрия,2023-12-12,2.00,false,2023-12-12
2023-12-15,Германия,2023-12-12,3.00,false,2023-12-12
2023-12-15,Франция,2023-12-12,7.00,false,2023-12-12
2023-12-15,Австрия,2023-12-11,2.00,false,2023-12-11
2023-12-15,Германия,2023-12-11,1.00,false,2023-12-11
2023-12-15,Франция,2023-12-11,6.00,false,2023-12-11
2023-12-15,Австрия,2023-12-10,1.00,false,2023-12-10
2023-12-15,Германия,2023-12-10,1.00,false,2023-12-10
2023-12-15,Франция,2023-12-10,6.00,false,2023-12-10
2023-12-15,Австрия,2023-12-09,1.00,false,2023-12-09
2023-12-15,Германия,2023-12-09,1.00,false,2023-12-09
2023-12-15,Франция,2023-12-09,4.00,false,2023-12-09
2023-12-14,Австрия,,4.00,true,2023-12-15
2023-12-14,Германия,,4.00,true,2023-12-15
2023-12-14,Франция,,7.00,true,2023-12-15
2023-12-14,Австрия,2023-12-14,4.00,false,2023-12-14
2023-12-14,Германия,2023-12-14,4.00,false,2023-12-14
2023-12-14,Франция,2023-12-14,7.00,false,2023-12-14
2023-12-14,Австрия,2023-12-13,4.00,false,2023-12-13
2023-12-14,Германия,2023-12-13,3.00,false,2023-12-13
2023-12-14,Франция,2023-12-13,7.00,false,2023-12-13
2023-12-14,Австрия,2023-12-12,4.00,false,2023-12-12
2023-12-14,Германия,2023-12-12,3.00,false,2023-12-12
2023-12-14,Франция,2023-12-12,7.00,false,2023-12-12
2023-12-14,Австрия,2023-12-11,3.00,false,2023-12-11
2023-12-14,Германия,2023-12-11,2.00,false,2023-12-11
2023-12-14,Франция,2023-12-11,7.00,false,2023-12-11
2023-12-14,Австрия,2023-12-10,4.00,false,2023-12-10
2023-12-14,Германия,2023-12-10,2.00,false,2023-12-10
2023-12-14,Франция,2023-12-10,6.00,false,2023-12-10
2023-12-14,Австрия,2023-12-09,4.00,false,2023-12-09
2023-12-14,Германия,2023-12-09,2.00,false,2023-12-09
2023-12-14,Франция,2023-12-09,7.00,false,2023-12-09
2023-12-14,Австрия,2023-12-08,3.00,false,2023-12-08
2023-12-14,Германия,2023-12-08,2.00,false,2023-12-08
2023-12-14,Франция,2023-12-08,7.00,false,2023-12-08
2023-12-13,Австрия,,4.00,true,2023-12-14
2023-12-13,Германия,,6.00,true,2023-12-14
2023-12-13,Франция,,9.00,true,2023-12-14
2023-12-13,Австрия,2023-12-13,4.00,false,2023-12-13
2023-12-13,Германия,2023-12-13,6.00,false,2023-12-13
2023-12-13,Франция,2023-12-13,9.00,false,2023-12-13
2023-12-13,Австрия,2023-12-12,4.00,false,2023-12-12
2023-12-13,Германия,2023-12-12,6.00,false,2023-12-12
2023-12-13,Франция,2023-12-12,9.00,false,2023-12-12
2023-12-13,Австрия,2023-12-11,5.00,false,2023-12-11
